run_id,dataset_name,run_timestamp,status,rows_ingested,rows_passed,rows_rejected,quality_score,duration_seconds,checks_passed,checks_failed,critical_failures,triggered_by,error_message,suite_name,pass_rate_pct
fa345a5b-5211-43aa-887c-34c52e47359f,campaign_events,2026-03-12 12:40:14.409763+00:00,success,3000,2940,60,98.5,0.001,6,0,0,scheduler,,generic,98.0
05d27892-514b-4aae-85fd-d9aa43382a78,product_catalog,2026-03-12 12:40:14.427385+00:00,success,3000,2940,60,98.5,0.001,6,0,0,scheduler,,generic,98.0
270cb873-1b31-44ea-bc68-c4d45f1248e4,financial_transactions,2026-03-12 12:56:37.874172+00:00,success,3000,2940,60,89.9,0.017,9,3,1,scheduler,,financial_suite,98.0
def2b7d0-3b51-48cc-af70-cc41cd0dd743,user_profiles,2026-03-12 12:56:37.897690+00:00,success,3000,2940,60,95.7,0.009,12,0,0,scheduler,,profile_suite,98.0
77419f0e-7589-4f46-bdc2-1c02ba0e22f9,employee_records,2026-03-12 12:56:37.917143+00:00,success,3000,2940,60,98.5,0.001,6,0,0,scheduler,,generic,98.0
e45aae33-4a45-48ee-939a-0535c7cc4822,product_catalog,2026-03-12 12:56:37.935514+00:00,success,3000,2940,60,98.5,0.001,6,0,0,scheduler,,generic,98.0
8ee6cd53-a72b-49a3-ac65-077ede0e40ee,financial_transactions,2026-03-12 12:56:43.266108+00:00,success,3000,2940,60,89.9,0.008,9,3,1,scheduler,,financial_suite,98.0
b9986757-c838-4a9c-818f-28a9f6fab575,user_profiles,2026-03-12 12:56:43.289367+00:00,success,3000,2940,60,95.7,0.008,12,0,0,scheduler,,profile_suite,98.0
dfd9c57f-56e0-4c97-a183-d201dcd7dcc0,employee_records,2026-03-12 12:56:43.314460+00:00,success,3000,2940,60,98.5,0.002,6,0,0,scheduler,,generic,98.0
ba23a12d-3b84-4a9b-9a5a-050108fc0288,product_catalog,2026-03-12 12:56:43.334760+00:00,success,3000,2940,60,98.5,0.001,6,0,0,scheduler,,generic,98.0
d06fa4db-b743-47a3-bccb-afc30a9816cb,customer_consent,2026-03-12 13:00:42.716837+00:00,success,3000,0,3000,83.4,0.017,10,2,0,scheduler,,consent_suite,0.0
9aec0635-7489-43ff-994b-4383ad224965,financial_transactions,2026-03-12 13:00:42.740772+00:00,success,3000,2940,60,89.9,0.008,9,3,1,scheduler,,financial_suite,98.0
556db6c5-373b-4544-ac6d-349e6c75022b,user_profiles,2026-03-12 13:00:42.766784+00:00,success,3000,2940,60,95.7,0.008,12,0,0,scheduler,,profile_suite,98.0
78ba7129-6ef1-4066-b87a-d6064de2ca7e,campaign_events,2026-03-12 13:00:42.785277+00:00,success,3000,2940,60,98.5,0.001,6,0,0,scheduler,,generic,98.0
6c825994-349e-4119-a699-5b82f4a7a052,product_catalog,2026-03-12 13:00:42.810523+00:00,success,3000,2940,60,98.5,0.001,6,0,0,scheduler,,generic,98.0
